name,mascot,city,state,primary_color,secondary_color,team_logo_image
Destrahan,Wildcats,Destrahan,LA,#8B1A1A,#808080,
Detroit,Eagles,Detroit,TX,,,
Devine,War Horses,Devine,TX,#800000,#FFD700,
Dewar,,,OK,,,
Dewey,,,OK,,,
Deweyville,Pirates,Deweyville,TX,,,
Diamond Hill-Jarvis,Eagles,Fort Worth,TX,,,
Dibble,,,OK,,,
Diboll,Lumberjacks,Diboll,TX,,,
Dickinson,Gators,,TX,,,
Dickson,,,OK,,,
Dilley,Wolves,Dilley,TX,,,
Dimmitt,Bobcats,Dimmitt,TX,,,
Dobie,Longhorns,Pasadena,TX,,,
Donaldsonville,Tigers,Donaldsonville,LA,,,
Donaldsonville,Tigers,Donaldsonville,LA,,,
Donna,Redskins,Donna,TX,,,
Donna North,Chiefs,Donna,TX,,,
Douglass,,,OK,,,
Dripping Springs,Tigers,Dripping Springs,TX,#800000,#FFD700,
Drumright,,,OK,,,
Dublin,Lions,Dublin,TX,#4CBB17,#FFD700,
Dulles,Vikings,Fort Bend,TX,,,
Dumas,Demons,Dumas,TX,#FE5200,#000000,
Dunbar,Wildcats,Fort Worth,TX,,,
Duncan,,,OK,,,
Duncanville,Panthers,Duncanville,TX,#FF0000,#4169E1,
Dunham,Tigers,Baton Rouge,LA,,,
Durant,,,OK,,,
Dutch Fork,Silver Foxes,Irmo,SC,#355E3B,#C0C0C0,
Dutchtown,Griffins,Geismar,LA,,,
D’Arbonne Woods Charter,Timberwolves,Farmerville,LA,,,
E.D. White Catholic,Cardinals,Thibodaux,LA,,,
Eagle Mountain,Knights,Saginaw,TX,,,
Eagle Pass,Eagles,Eagle Pass,TX,,,
Eagle River,Wolves,Eagle River,AL,#0A1F44,#C0C0C0,
Earl Warren,Warriors,San Antonio,TX,#F5343F,#E5D6DF,
Early,Longhorns,Early,TX,#800080,#FFD700,
East,Mecklenburg,,,,,
East,Plano,,,,,
East,Weslaco,,,,,
East,Wildcats,Weslaco,,,,
East Ascension,Spartans,Gonzales,LA,,,
East Beauregard,Trojans,DeRidder,LA,,,
East Bernard,Brahmas,,,,,
East Central,Hornets,Moss Point,,,,
East Central,Hornets,San Antonio,TX,#1C1C1C,#D4AF37,
East Chambbers,Buccaneers,,,,,
East Feliciana,Tigers,Jackson,LA,,,
East Iberville,Tigers,St. Gabriel,LA,,,
East Jefferson,Warriors,Metairie,LA,,,
East Mecklenburg,,,NC,,,
East St. John,Wildcats,Reserve,LA,,,
East View,Patriots,Georgetown,TX,,,
Eastern Hills,Highlanders,Fort Worth,TX,,,
Eastlake,Falcons,El Paso,TX,,,
Eastland,Mavericks,Eastland,TX,#FF0000,#000000,
Eastside,Panthers,Austin,TX,#1F1F22,#B7B9BC,
Eastwood,Troopers,El Paso,TX,,,
Eaton,Eagles,Haslet,TX,,,
Ecole Classique,Knights,Metairie,LA,,,
Economedes,Jaguars,Edinburg,TX,,,
Edcouch-Elsa,Yellow Jackets,,TX,,,
Eden,Bulldogs,Eden,TX,,,
Edgewood,Bulldogs,Edgewood,TX,#4B2E83,#FFD100,
Edinburg,Bobcats,Edinburg,TX,,,
Edinburg North,Cougars,Edinburg,TX,,,
Edison,Bears,San Antonio,TX,,,
Edison Prep,,,OK,,,
Edisto,Cougars,Cordova,SC,#4169E1,#FFD700,
Edmond Memorial,Bulldogs,,OK,,,
Edmond North,Huskies,,OK,,,
Edmond Santa Fe,,,OK,,,
Edna,Cowboys,Edna,TX,#4169E1,#FFFFFF,
Edna Karr,Cougars,New Orleans,LA,#800080,#FFD700,
Eisenhower,,,OK,,,
Eisenhower,Eagles,Aldine,TX,#000000,#FFAC2A,
El Campo,Rice Birds,El Campo,TX,#FF0000,#FFFFFF,
El Dorado,Aztecs,El Paso,TX,,,
El Paso,Tigers,El Paso,TX,,,
El Reno,,,OK,,,
Eldorado,Eagles,Eldorado,TX,,,
Electra,Tigers,Electra,TX,,,
Elgin,Owls,,OK,,,
Elgin,Wildcats,Elgin,TX,,,
Elk City,,,OK,,,
Elkhart,Elks,Elkhart,TX,#D62828,#000000,
Elkins,Knights,Fort Bend,TX,,,
Ellender Memorial,Patriots,Houma,LA,,,
Ellender Memorial,Patriots,Houma,LA,,,
Ellison,Eagles,Killeen,TX,,,
Elmore City Pernell,,,OK,,,
Elsik,Rams,Alief,TX,#16284C,#FFFFFF,
Elton ,Indians,Elton,LA,,,
Elysian Fields,Yellow Jackets,Elysian Fields,TX,,,
Emerson,Mavericks,Frisco,TX,#6CB4EE,#0B1F4D,
Emery-Weiner,Jaguars,Houston,TX,,,
Emory Rains,Wildcats,,TX,,,
Empire,,,OK,,,
Enid,,,OK,,,
Ennis,Lions,Ennis,TX,,,
Episcopal,Knights,Baton Rouge,LA,,,
Episcopal,Knights,Bellaire,TX,,,
Episcopal School of Baton Rouge,,,LA,,,
Episcopal School of Dallas,Eagles,Dallas,TX,,,
Era,Hornets,Era,TX,,,
Estacado,Matadors,Lubbock,TX,#4169E1,#C0C0C0,
Eufaula,,,OK,,,
Eunice,Bobcats,Eunice,LA,,,
Eustace,Bulldogs,,TX,,,
Evadale,Rebels,Evadale,TX,,,
Evangel Christian Academy,Eagles,Shreveport,LA,,,
Evant,Elks,Evant,TX,,,
Everman,Bulldogs,Everman,TX,#800080,#FFD700,
Fabens,Wildcats,Fabens,TX,,,
Fairfield,Eagles,Fairfield,TX,,,
Fairland,,,OK,,,
Fairview,,,OK,,,
Fairview,Yellow Jackets,,OK,,,
Faith,Knights,Stephenville,TX,,,
Faith Academy,Knights,Bellville,TX,,,
Faith Academy,Flames,Marble Falls,TX,,,
Faith Christian,Lions,Grapevine,TX,,,
Falfurrias,Jerseys,Falfurrias,TX,,,
Falls City,Beavers,Falls City,TX,,,
False River Academy,Gators,New Roads,LA,,,
Fannindel,Falcons,Fannindel,TX,,,
Farmersville,Fighting Farmers,Farmersville,TX,,,
Farwell,Steers,Farwell,TX,,,
Faustina,Falcons,Irving,TX,,,
Fayateville,(AR),,,,,
Ferriday,Trojans,Ferriday,LA,,,
Ferris,Yellow Jackets,Ferris,TX,,,
First Baptist,Saints,Dallas,TX,#4D7897,#938A81,
First Baptist,Warriors,Pasadena,TX,,,
Flatonia,Bulldogs,Flatonia,TX,,,
Florence,Buffaloes,Florence,TX,#800080,#FFFFFF,
Floresville,Tigers,Floresville,TX,,,
Flour Bluff,Hornets,Corpus Christi,TX,#7A1E2C,#B0B0B0,
Flower Mound,Jaguars,Flower Mound,TX,,,
Floydada,Whirlwinds,Floydada,TX,#4CBB17,#FFFFFF,
Follett,Panthers,Follett,TX,,,
Fontainebleau,Bulldogs,Mandeville,LA,,,
Ford,,Quinlan,TX,,,
Ford,Panthers,Quinlan,TX,,,
Forest,Golden Eagles,Klein,TX,,,
Forestburg,Longhorns,Forestburg,TX,,,
Forestview,Jaguars,Gastonia,NC,#000000,#C0C0C0,
Forney,Jackrabbits,Forney,TX,#EFD60F,#E1E4EB,
Forsan,Buffaloes,Forsan,TX,,,
Fort Davis,Indians,Fort Davis,TX,,,
Fort Stockton,Panthers,Fort Stockton,TX,#1F4FBF,#FFFFFF,
Fossil Ridge,Sabercats,,CO,#006341,#111111,
Fossil Ridge,Panthers,Keller,TX,#000000,#C5B358,
Foster,Falcons,Richmond,TX,,,
Fox,,,OK,,,
Foyil,,,OK,,,
Franklin,(NC),,,,,
Franklin,Cougars,El Paso,TX,,,
Franklin,Lions,Franklin,TX,,,
Franklin,Hornets,New Orleans,LA,,,
Franklin,Patriots,Winnsboro,LA,,,
Frankston,Indians,Frankston,TX,,,
Frassati Catholic,Falcons,Spring,TX,,,
Frederick,,,OK,,,
Fredericksburg,Battlin' Billies,Fredericksburg,TX,#FF0000,#FFFFFF,
Freer,Buckaroos,Freer,TX,,,
Friendswood,Mustangs,,TX,,,
Friona,Chieftons,Friona,TX,,,
Frisco,Raccoons,Frisco,TX,,,
Frost,Polar Bears,Frost,TX,,,
Ft. Gibson,,,OK,,,
Fulshear,Chargers,Fulshear,TX,,,
Furr,Brahmas,Houston,TX,,,
Gaffney,Indians,Gaffney,SC,#000000,#C5A028,
Gainsville,Leopards,Gainesville,TX,#CE242C,#000000,
Galena Park,Yellow Jackets,Galena Park,TX,,,
Ganado,Indians,Ganado,TX,,,
Gans,,,OK,,,
Garber,,,OK,,,
Garden City,Bearkats,Garden City,TX,,,
Garland,Owls,Garland,TX,#000000,#FFD700,
Garrison,Bulldogs,Garrison,TX,,,
Gatesville,Hornets,Gatesville,TX,#000000,#FFB300,
Gateway,Gators,Dallas,TX,,,
Geary,,,OK,,,
Geneva,Eagles,Boerne,TX,,,
George Ranch,Longhorns,Richmond,TX,,,
George Washington Carver,Rams,New Orleans,LA,,,
George West,Longhorns,George West,TX,#800000,#FFFFFF,
Georgetown,Eagles,Georgetown,TX,#4169E1,#FFFFFF,
Giddings,Buffaloes,Giddings,TX,#000000,#C5A028,
Gilmer,Buckeyes,Gilmer,TX,#ED461A,#000000,
Gladewater,Bears,Gladwater,TX,#ED461A,#000000,
Glen Rose,Tigers,Glen Rose,TX,#FF0000,#FFFFFF,
Glenn,Grizzlies,Leander,TX,,,
Glenpool,,,OK,,,
Godley,Wildcats,Godley,TX,#2C1747,#FAEFEB,
Gold-burg,Bears,Bowie,TX,,,
Goldthwaite,Eagles,Goldthwaite,TX,#000000,#FFBA00,
Goliad,Tigers,Goliad,TX,,,
Gonzales,Apaches,Gonzales,TX,#ED461A,#000000,
Goose Creek,Gators,Goose Creek,SC,#000000,#FFD700,
Goose Creek Memorial,Patriots,Baytown,TX,,,
Gordon,Longhorns,Gordon,TX,#000000,#BB9439,
Gore,,,OK,,,
Gorman,,Gorman,TX,,,
Grace Academy,Griffins,Georgetown,TX,,,
Grace Christian,Colts,Weatherford,TX,,,
Grace Community,Chargers,Tyler,TX,,,
Grace Prep,Lions,Arlington,TX,,,
Grady,Wildcats,,TX,,,
Graford,Rabbits,Graford,TX,,,
Graham,Steers,Graham,TX,#4169E1,#FF0000,
Graham-Dustin,,,OK,,,
Granbury,Pirates,Granbury,TX,#800080,#FFD700,
Grand Oaks,Grizzlies,Conroe,TX,#F05A28,#1F4FBF,
Grand Praire,Gophers,Grand Praire,TX,,,
Grand Saline,Indians,Grand Saline,TX,,,
Grandfalls-Royalty,Cowboys,,TX,,,
Grandfield,,,OK,,,
Grandview,Zebras,Grandview,TX,#000000,#FFFFFF,
Granger,Lions,Granger,TX,,,
Grant,Cougars,Dry Prong,LA,,,
Grape Creek,Eagles,San Angelo,TX,,,
Grapeland,Sandies,Grapeland,TX,,,
Grapevine,Mustangs,Grapevine,TX,#DF0436,#FAEFEB,
Green Oaks,Giants,Shreveport,LA,,,
Greenville,Lions,Greenville,TX,,,
Greenwood,Rangers,Midland,TX,,,
Gregory-Portland,Wildcats,,TX,,,
Groesbeck,Goats,Groesbeck,TX,#FF0000,#FFFFFF,
Groom,Tigers,Groom,TX,,,
Grove,,,OK,,,
Groveton,Indians,Groveton,TX,,,
Grulla,Gators,Rio Grande City,TX,,,
Gruver,Greyhounds,Gruver,TX,#A44952,#8083A6,
Gueydan,Bears,Gueydan,LA,,,
Gunter,Tigers,Gunter,TX,,,
Gustine,Tigers,Gustine,TX,,,
Guthrie,Bluejays,,OK,,,
Guthrie,Jaguars,Guthrie,TX,,,
Guyer,Wildcats,Denton,TX,#000000,#959CA1,
Guymon,,,OK,,,
H.L. Bourgeois,Braves,Gray,LA,,,
H.L.Bourgeois,Braves,Gray,LA,,,
Hahnville,Tigers,Boutte,LA,,,
Hale Center,Owls,Hale Center,TX,,,
Hallettsville,Brahmas,Hallettsville,TX,#800000,#FFFFFF,
Hallsville,Bobcats,Hallsville,TX,#4F148D,#DEC2B7,
Haltom,Buffaloes,Fort Worth,TX,,,
Hamilton,Bulldogs,Hamilton,TX,#FF0000,#000000,
Hamilton Christian Academy,Warriors,Lake Charles,LA,,,
Hamlin,Pied Pipers,Hamlin,TX,#1F7A3A,#FFFFFF,
Hammond Magnet,Tornadoes,Hammond,LA,,,
Hamshire-Fannett,Longhorns,Hamshire,TX,#4169E1,#C5A028,
Hanks,Knights,El Paso,TX,,,
Hanna,Golden Eagles,Brownsville,TX,,,
Hanson Memorial,Tigers,Franklin,LA,,,
Happy,Cowboys,Happy,TX,,,
Hardin,Hornets,Hardin,TX,,,
Hardin-Jefferson,Hawks,,TX,,,
Harker Heights,Knights,Killeen,TX,#C60A1D,#000000,
Harlan,Hawks,San Antonio,TX,,,
Harlandale,Indians,San Antonio,TX,,,
Harleton,Wildcats,Harleton,TX,,,
Harlingen,Cardinals,Harlingen,TX,,,
Harlingen South,Hawks,Harlingen,TX,#204C43,#8B6963,
Harmony,Eagles,Gilmer,TX,,,
Harmony,Wildcats,Katy,TX,,,
Harmony,Mustangs,Sugar Land,TX,,,
Harper,Longhorns,Harper,TX,,,
Harrah,,,OK,,,
Harrold,Hornets,Harrold,TX,,,
Hart,Longhorns,Hart,TX,,,
Hartshorne,,,OK,,,
Haskell,,,OK,,,
Haskell,Indians,Haskell,TX,,,
Hastings,Bears,Alief,TX,#000000,#FFC002,
Haughton,Buccaneers,Haughton,LA,,,
Hawkins,Hawks,Hawkins,TX,,,
Hawley,Bearcats,Hawley,TX,,,
Haynesville,Golden Tornadoes,Haynesville,LA,,,
Hays Consolidated,Rebels,Buda,TX,,,
Healoton,,,OK,,,
Hearne,Eagles,Hearne,TX,,,
Heath,Hawks,Rockwall,TX,#AF1B11,#2A0E0B,
Heavener,,,OK,,,
Hebbronville,Longhorns,Hebbronville,TX,#FAB911,#342519,
Hebron,Hawks,Lewisville,TX,,,
Hedley,Owls,Hedley,TX,,,
Heights,Bulldogs,Houston,TX,,,
Hemphill,Hornets,Hemphill,TX,,,
Hempstead,Bobcats,Hempstead,TX,,,
Henderson,Lions,,TX,,,
Hendrickson,Hawks,Pflugerville,TX,,,
Hennessey,,,OK,,,
Henrietta,Bearcats,,TX,,,
Henryetta,,,OK,,,
Hereford,Whitefaces,Hereford,TX,#800000,#FFFFFF,
Heritage,Eagles,Fredericksburg,TX,,,
Heritage,Coyotes,Frisco,TX,,,
Heritage,Jaguars,Midlothian,TX,#FF0000,#4169E1,
Heritage Christian,Eagles,Rockwall,TX,,,
Heritage Hall,Chargers,Oklahoma City,OK,,,
Hermleigh,Cardinals,Hermleigh,TX,,,
Hernando,(FL),,,,,
Hickory Ridge,(NC),,,,,
Hico,Tigers,Hico,TX,#FF0000,#FFFFFF,
Hidalgo,Pirates,Hidalgo,TX,,,
High Island,,,TX,,,
Highland,Hornets,Roscoe,TX,,,
Highland Baptist Christian,Bears,New Iberia,LA,,,
Highland Park,Hornets,Amarillo,TX,,,
Highland Park,Scots,Dallas,TX,,,
Highlands,Owls,San Antonio,TX,,,
Hightower,Hurricanes,Fort Bend,TX,,,
Hill Country,Wolves,,TX,,,
Hill Country,Knights,Austin,TX,,,
Hillcrest,Panthers,Dallas,TX,,,
Hilldale,,,OK,,,
Hillsboro,Eagles,Hillsboro,TX,,,
Hilton Head,Seahawks,Hilton Head,SC,#001F5B,#C4D8E2,
Hinton,,,OK,,,
Hirschi,Huskies,Wichita Falls,TX,#87CEEB,#8B0000,
Hitchcock,Bulldogs,Hitchcock,TX,,,
Hobart,,,OK,,,
Holdenville,,,OK,,,
Holland,Hornets,Holland,TX,,,
Holland Hall,,,OK,,,
Holliday,Eagles,Holliday,TX,#FDA695,#8E94AE,
Hollis,,,OK,,,
Holmes,Huskies,San Antonio,TX,,,
Holy Cross,Knights,San Antonio,TX,,,
Holy Savior Menard,Eagles,Alexandria,LA,,,
Homeny,,,OK,,,
Homer,Pelicans,Homer,LA,,,
Homeschool,Rattlers,Atlas,TX,,,
Hondo,Owls,Hondo,TX,,,
Honey Grove,Warriors,Honey Grove,TX,,,
Hooker,,,OK,,,
Hooker,Bulldogs,,OK,,,
Hooks,Hornets,Hooks,TX,,,
Horizon,Scorpions,Clint,TX,,,
Horn,Jaguars,Mesquite,TX,,,
Hough,(NC),,,,,
Houma Christian,Warriors,Houma,LA,,,
Howe,Bulldogs,Howe,TX,,,
HSAA,Angels,Dallas,TX,,,
Hubbard,Jaguars,Hubbard,TX,,,
Huckabay,Indians,Huckabay,TX,,,
Huffman Hargrave,Falcons,,TX,,,
Hughes Springs,Mustangs,Hughes Springs,TX,,,
Hugo,,,OK,,,
Hulbert,,,OK,,,
Hull-Daisetta,Bobcats,,TX,,,
Humble,Wildcats,Humble,TX,#4603D9,#80826E,
Huntington,Red Devils,Huntington,TX,#420B0B,#F1E3DE,
Huntington,Raiders,Shreveport,LA,,,
Huntsville,Hornets,Huntsville,TX,#228B22,#FFFFFF,
Hutto,Hippos,Hutto,TX,#D25D12,#FFFFFF,
Idabel,,,OK,,,
Idalou,Wildcats,Idalou,TX,,,
IMG Academy,Ascenders,Bradenton,FL,,,
Imlay City,Spartans,,MI,,,
Independence,Patriots,Charlotte,NC,#4CBB17,#FFD700,
Independence,Knights,Frisco,TX,,,
Industrial,Cobras,Vanderbilt,TX,,,
Ingleside,Mustangs,Ingleside,TX,,,
Ingram Moore,Warriors,Ingram,TX,#FF0000,#000000,
Inola,,,OK,,,
Inspired Vision,Eagles,Dallas,TX,,,
Iola,Bulldogs,Iola,TX,,,
Iota,Bulldogs,Iola,LA,,,
Iowa,Yellow Jackets,Iowa,LA,,,
Iowa Colony,Pioneers,Alvin,TX,,,
Iowa Park,Hawks,Iowa Park,TX,,,
Ira,Bulldogs,Ira,TX,,,
Iraan,Braves,Iraan,TX,,,
Iredell,Dragons,Iredell,TX,,,
Irion County,Hornets,Irion County,TX,,,
Irvin,Rockets,El Paso,TX,,,
Irving,Tigers,Irving,TX,,,
Istrouma,Indians,Baton Rouge,LA,,,
Italy,Gladiators,Italy,TX,#F09D0A,#F0F2F9,
Itasca,Wampus Cats,Itasca,TX,#020A25,#8D8EC7,
Jacksboro,Tigers,Jacksboro,TX,,,
Jacksonville,Indians,Jacksonville,TX,#4169E1,#FFD700,
Jarrell,Cougars,Jarrell,TX,,,
Jasper,Bulldogs,Jasper,TX,#990000,#FFFFFF,
Jay,,,OK,,,
Jay,Mustangs,San Antonio,TX,,,
Jayton,Jaybirds,Jayton,TX,,,
Jeanerette,Tigers,Jeanerette,LA,,,
Jefferson,Bulldogs,,TX,,,
Jefferson,Patriots,Dallas,TX,,,
Jefferson,Silver Foxes,El Paso,TX,,,
Jefferson,Mustangs,San Antonio,TX,,,
Jena,Giants,Jena,LA,,,
Jena,Giants,Jena,LA,,,
Jenks,Trojans,,OK,,,
Jennings,Bulldogs,Jennings,LA,,,
Jersey Village,Falcons,Houston,TX,,,
Jesuit,Rangers,Dallas,TX,,,
Jewel M. Sumner,Cowboys,Kentwood,LA,,,
Jewett Leon,Cougars,,TX,,,
Jim Ned,Indians,Tuscola,TX,,,
Joaquin,Rams,Joaquin,TX,,,
John Cooper ,Dragons,The Woodlands,TX,,,
John Ehret,Patriots,Marrero,LA,,,
John Marshall,,,OK,,,
John Paul II,Guardians,Schertz,TX,,,
Johnson,Jaguars,Buda,TX,#253CA6,#9C9BE3,
Johnson,Jaguars,San Antonio,TX,,,
Johnson City,Eagles,Johnson City,TX,,,
Jones,Longhorns,,OK,,,
Jonesboro,,,TX,,,
Jonesboro-Hodge,Tigers,Jonesboro,LA,,,
Jordan,Warriors,Katy,TX,,,
Joshua,Owls,Joshua,TX,#000000,#1F4FBF,
Jourdanton,Indians,Jourdanton,TX,,,
Juarez-Lincoln,Huskies,La Joya,TX,,,
Judson,Rockets,Converse,TX,#FF0000,#808080,
Junction,Eagles,Junction,TX,,,
Kansas,,,OK,,,
Kaplan,Pirates,Kaplan,LA,,,
Karnes City,Badgers,Karnes City,TX,,,
Kashmere,Rams,Houston,TX,,,
Katy,Tigers,Katy,TX,#FF0000,#FFFFFF,
Katy,Tigers,Katy,TX,,,
Kaufman,Lions,Kaufman,TX,,,
Keller,Indians,Keller,TX,,,
Kelly,Bulldogs,Beaumont,TX,,,
Kellyville,,,OK,,,
Kemp,Yellow Jackets,Kemp,TX,,,
Kempner,Cougars,Fort Bend,TX,,,
Kenedy,Lions,Kenedy,TX,#5D1320,#E6D4E0,
Kennedale,Wildcats,Kennedale,TX,#4CBB17,#FFFFFF,
Kennedy,Rockets,San Antonio,TX,,,
Kentwood,Kangaroos,Kentwood,LA,,,
Keota,,,OK,,,
Kerens,Bobcats,Kerens,TX,,,
Kermit,Yellow Jackets,Kermit,TX,,,
Ketchum,,,OK,,,
Keys,,Parkhill,OK,,,
Kiefer,,,OK,,,
Kilgore,Bulldogs,Kilgore,TX,#FF0000,#FFFFFF,
Killeen,Kangaroos,Killeen,TX,,,
Kimball,Knights,Dallas,TX,,,
Kinder,Yellow Jackets,Kinder,LA,,,
King,Mustangs,Corpus Christi,TX,,,
King,Brahmas,Kingsville,TX,#080706,#E6DBC5,
Kingdom Prep,Warriors,Lubbock,TX,,,
Kingfisher,,,OK,,,
Kingston,,,OK,,,
Kingsville,,,TX,,,
Kingwood,Mustangs,Humble,TX,,,
Kingwood Park,Panthers,Humble,TX,,,
Kinkaid,Falcons,Houston,TX,,,
Kipp Sunnyside,Senators,Houston,TX,,,
Kirbyville,Wildcats,Kirbyville,TX,,,
Klein,BearKats,Klein,TX,,,
Klondike,,Lamesa,TX,,,
Klondike,Cougars,Lamesa,TX,,,
Knippa,RockCrushers,Knippa,TX,,,
Knox City,Greyhounds,Knox City,TX,,,
Konawa,,,OK,,,
Kopperl,Eagles,Kopperl,TX,,,
Kountze,,,TX,,,
Kremlin- Hillsdale,,,OK,,,
Kress,Kangaroos,Kress,TX,,,
Krum,Bobcats,Krum,TX,,,
L.D. Bell,Blue Raiders,Hurst,TX,,,
La Feria,Lions,La Feria,TX,,,
La Grange,Leopards,La Grange,TX,#800080,#FFD700,
La Jolla,Vikings,CA,,,,
La Joya,Coyotes,La Joya,TX,,,
La Marque,Cougars,La Marque,TX,#001F5B,#FFD700,
La Porte,Bulldogs,,TX,,,
La Pryor,Bulldogs,La Pryor,TX,,,
La Vega,Pirates,Waco,TX,#0033A0,#FFC72C,
La Verne,,,OK,,,
La Vernia,Bears,La Vernia,TX,#354B99,#FFFFFF,
La Villa,Cardinals,La Villa,TX,,,
Lafayette,Lions,Lafayette,LA,,,
Lafayette Christian Academy,Eagles,Lafayette,LA,,,
Lafayette Renaissance Charter,Tigers,Lecompte,LA,,,
Lago Vista,Vikings,Lago Vista,TX,#4169E1,#FFD700,
Lake Arthur,Tigers,Lake Arthur,LA,,,
Lake Belton,Broncos,Temple,TX,#FF0000,#C0C0C0,
Lake Charles College Prep,Trailblazers,Lake Charles,LA,,,
Lake Country,Eagles,Fort Worth,TX,,,
Lake Creek,Lions,Montgomery,TX,,,
Lake Dallas,Falcons,Corinth,TX,#26A64A,#FFFFFF,
Lake Highlands,Wildcats,Richardson,TX,,,
Lake Ridge,Eagles,Mansfield,TX,,,
Lake Travis,Cavaliers,Austin,TX,#D22630,#000000,
Lake View,Chiefs,San Angelo,TX,#1F4FBF,#B0B0B0,
Lake Worth,Bullfrogs,Lake Worth,TX,#4CBB17,#FFFFFF,
Lakeland,Dreadnaughts,Lakeland,FL,#000000,#FFA500,
Lakeshore,Titans,Mandeville,LA,,,
Lakeside,Warriors,Sibley,LA,,,
Lakeview,Gators,Campti,LA,,,
Lakeview Centennial,Patriots,Garland,TX,,,
Lamar,Vikings,Arlington,TX,#505BB4,#E5E6EE,
Lamar,Texans,Houston,TX,#001F5B,#FFFFFF,
Lamar Consolidated,Mustangs,,TX,,,
Lamesa,,Lamesa,TX,,,
Lamesa,Golden Tornadoes,Lamesa,TX,,,
Lampasas,Badgers,Lampasas,TX,#00009C,#FFFFFF,
Lancaster,Tigers,Lancaster,TX,,,
Langham Creek,Lobos,Houston,TX,,,
Lanier,Voks,San Antonio,TX,,,
LaSalle,Tigers,Olla,LA,,,
Laverna,Tigers,,OK,,,
Lawton,,,OK,,,
Lazbuddie,Longhorns,Lazbuddie,TX,,,
LBJ,Jaguars,Austin,TX,#613393,#FFFFFF,
LBJ,Wolves,Laredo,TX,,,
Leakey,Eagles,Leakey,TX,,,
Leander,Lions,Leander,TX,#0B0DB2 ,#EF191D,
Lebannon Trail,Trail Blazers,Frisco,TX,,,
Lee,Ganders,Baytown,TX,#6A1F2B,#FFFFFF,
Lee,Rebels,Midland,TX,#800000,#FFFFFF,
Lee,Volunteers,San Antonio,TX,,,
Leesville,Wampus Cats,Leesville,LA,,,
Lefors,Pirates,Lefors,TX,,,
Legacy,Titans,Houston,TX,,,
Legacy,Broncos,Mansfield,TX,,,
Legacy,Leopards,Wichita Falls,TX,,,
Legacy Christian,Warriors,Beaumont,TX,,,
Legacy Christian,Eagles,Frisco,TX,,,
Lehman,Lobos,Kyle,TX,,,
Leonard,Tigers,Leonard,TX,,,
Levelland,Lobos,Levelland,TX,,,
Lewisville,Fighting Farmers,Lewisville,TX,,,
Lexington,,,OK,,,
Lexington,Eagles,Lexington,TX,,,
Liberty,,,OK,,,
Liberty,Redhawks,Frisco,TX,,,
Liberty,Panthers,Liberty,TX,,,
Liberty,Patriots,Lubbock,TX,,,
Liberty Christian,Warriors,Argyle,TX,,,
Liberty Hill,Panthers,Liberty Hill,TX,#800080,#FFD700,
Liberty Magnet,Patriots,Baton Rouge,LA,,,
Liberty-Eylau,Leopards,Texarkana,TX,#431330,#EBE1F5,
Life,Mustangs,Waxahachie,TX,,,
Life Oak Cliff,Lions,Dallas,TX,,,
Lincoln,Fighting Zebras,CA,,,,
Lincoln,Tigers,Dallas,TX,,,
Lincoln Christian,Bulldogs,Tulsa,OK,,,
Lincoln Preparatory,Panthers,Grambling,LA,,,
Lindale,Eagles,Lindale,TX,#3D3D45,#C8C9E5,
Linden-Kildare,Tigers,,TX,,,
Lindsay,,,OK,,,
Lindsay,Knights,Lindsay,TX,,,
Lingleville,,,TX,,,
Lipan,Indians,Lipan,TX,,,
Little Axe,,,OK,,,
Little Cypress-Mauriceville,Bears,,TX,#BE7A09,#AAA3B7,
Little Elm,Lobos,Little Elm,TX,,,
Little River Academy,Bumblebees,Little River,TX,#006633,#FFCC00,
Littlefield,Wildcats,Littlefield,TX,,,
Live Oak,Falcons,Waco,TX,,,
Live Oak,Eagles,Watson,LA,,,
Livingston,Lions,,TX,,,
Llano,Yellow Jackets,Llano,TX,#000000,#FFA500,
Lockhart,Lions,Lockhart,TX,,,
Lockney,Longhorns,Lockney,TX,,,
Locust Grove,,,OK,,,
Logansport,Tigers,Logansport,LA,,,
Logansport,Tigers,Logansport,LA,,,
Logos Prep,Lions,Sugar Land,TX,,,
Lohn,Eagles,Lohn,TX,,,
Lometa,,,TX,,,
London,Pirates,Corpus Christi,TX,#7A1E2C,#FFFFFF,
Lone Grove,,,OK,,,
Lone oak,Buffaloes,Lone Oak,TX,,,
Lone Star,Rangers,Frisco,TX,#041548,#C5CADD,
Long Creek,Dragons,New Braunfels,TX,#1A2349,#CACFEB,
Longview,Lobos,Longview,TX,#22422E,#F8BF17,
Loop,Longhorns,Loop,TX,,,
Lopez,Lobos,Brownsville,TX,#031A87,#CBC9D5,
Loranger,Wolves,Loranger,LA,,,
Loreauville,Tigers,Loreauville,LA,,,
Loreauville,Tigers,Loreauville,LA,,,
Lorena,Leopards,Lorena,TX,,,
Lorenzo,Hornets,Lorenzo,TX,,,
Los Fresnos,Falcons,Los Fresnos,TX,#3D2326,#D5D3E1,
Louise,Hornets,Louise,TX,,,
Lovejoy,Leopards,,TX,,,
Lovelady,Lions,Lovelady,TX,,,
Loyola College Prep,Flyers,Shreveport,LA,,,
Lubbock,Westeners,Lubbock,TX,#9EA2A8,#FFFFFF,
Lueders-Avoca,Raiders,,TX,,,
Lufkin,Panthers,Lufkin,TX,,,
